
Computing for N = 21:
21: 10% done, found 0 solutions
21: 20% done, found 0 solutions
21: 30% done, found 0 solutions
21: 40% done, found 0 solutions
21: 50% done, found 0 solutions
21: 60% done, found 0 solutions
21: 70% done, found 0 solutions
21: 80% done, found 0 solutions
21: 90% done, found 0 solutions
21: 100% done, found 0 solutions
21: 110% done, found 0 solutions
21: 120% done, found 0 solutions
21: 130% done, found 0 solutions
21: 140% done, found 0 solutions
21: 150% done, found 0 solutions
21: 160% done, found 0 solutions
21: 170% done, found 0 solutions
21: 180% done, found 0 solutions
21: 190% done, found 0 solutions
21: 200% done, found 0 solutions
21: 210% done, found 0 solutions
21: 220% done, found 0 solutions
21: 230% done, found 0 solutions
21: 240% done, found 0 solutions
21: 250% done, found 0 solutions
21: 260% done, found 0 solutions
21: 270% done, found 0 solutions
21: 280% done, found 0 solutions
21: 290% done, found 0 solutions
21: 300% done, found 0 solutions
21: 310% done, found 0 solutions
21: 320% done, found 0 solutions
21: 330% done, found 0 solutions
21: 340% done, found 0 solutions
21: 350% done, found 0 solutions
21: 360% done, found 0 solutions
21: 370% done, found 0 solutions
21: 380% done, found 0 solutions
21: 390% done, found 0 solutions
21: 400% done, found 0 solutions
21: 410% done, found 0 solutions
21: 420% done, found 0 solutions
21: 430% done, found 1 solutions
21: 440% done, found 1 solutions
21: 450% done, found 1 solutions
21: 460% done, found 1 solutions
21: 470% done, found 1 solutions
21: 480% done, found 1 solutions
21: 490% done, found 1 solutions
21: 500% done, found 1 solutions
21: 510% done, found 1 solutions
21: 520% done, found 1 solutions
21: 530% done, found 1 solutions
21: 540% done, found 1 solutions
21: 550% done, found 1 solutions
21: 560% done, found 1 solutions
21: 570% done, found 1 solutions
21: 580% done, found 1 solutions
21: 590% done, found 1 solutions
21: 600% done, found 1 solutions
21: 610% done, found 1 solutions
21: 620% done, found 1 solutions
21: 630% done, found 1 solutions
21: 640% done, found 1 solutions
21: 650% done, found 1 solutions
21: 660% done, found 1 solutions
21: 670% done, found 1 solutions
21: 680% done, found 1 solutions
21: 690% done, found 1 solutions
21: 700% done, found 1 solutions
21: 710% done, found 1 solutions
21: 720% done, found 1 solutions
21: 730% done, found 1 solutions
21: 740% done, found 1 solutions
21: 750% done, found 1 solutions
21: 760% done, found 1 solutions
21: 770% done, found 1 solutions
21: 780% done, found 1 solutions
21: 790% done, found 1 solutions
21: 800% done, found 1 solutions
21: 810% done, found 1 solutions
21: 820% done, found 1 solutions
